bone morphogenetic protein signaling pathway,tumor suppressor gene.,electrochemical gradient establishment,blood vessel maturation,defense against infection,bone morphogenetic protein signaling
cytoplasmic ribonucleoprotein granule association,oligosaccharyltransferase complex subunit,protein-protein interactions (β-catenin),chondroitin sulfate proteoglycan biosynthetic process,type ii interferon receptor activity,vitamin e binding
cytoplasmic ribonucleoprotein granule association,chondroitin sulfate proteoglycan biosynthetic process,protein-protein interactions (β-catenin),cytoplasmic ribonucleoprotein granule localization,oligosaccharyltransferase complex subunit,type ii interferon receptor activity
immune cell development,rna polymerase ii ctd isomerase activity,gamma-delta t cell activation,histone h2axs139 kinase activity,epithelial expression,pyrroline-5-carboxylate reductase activity
cytoplasmic ribonucleoprotein granule association,chromocenter,chondroitin sulfate proteoglycan biosynthetic process,myosin light chain phosphatase regulatory subunit f,regulation of ovulation,cullin-ring ubiquitin ligase complex
bone morphogenetic protein signaling pathway,phospholipase activity,peptidase activator activity,bone morphogenetic protein signaling,chemokine receptor binding,phosphoinositide binding
glucose-1,phospholipase activity,leukotriene metabolism,chemokine receptor binding,peptidase activator activity,glycine decarboxylation
mrna metabolic process,bone formation,mrna degradation,smoothened signaling pathway modulation,transcription elongation factor complex,imprinting
mrna degradation,electrochemical gradient establishment,bone formation,tumor type association,homodimerization,transcription elongation factor complex
tumor type association,mrna degradation,electrochemical gradient establishment,imprinting,tumor suppressor gene expression,tumor suppressor gene regulation
tumor type association,electrochemical gradient establishment,tumor suppressor gene.,tumor suppressor gene regulation,nurd complex,tumor suppressor gene expression
protein homodimerization,acetylation,aconitate hydratase activity,uncharacterized function,angiogenesis promotion,viral life cycle
antibacterial innate immune response,viral process regulation,sam domain,regulation of protein lipidation,receptor clustering regulation,vesicle coating
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,gamma-delta intraepithelial t cell differentiation,k48-linked ubiquitination,extrinsic apoptotic signaling pathway regulation,keratin filament cross-linking
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,gamma-delta intraepithelial t cell differentiation,k48-linked ubiquitination,extrinsic apoptotic signaling pathway regulation,keratin filament cross-linking
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process,extrinsic apoptotic signaling pathway regulation,methylmalonyl-coa epimerase activity,gamma-delta intraepithelial t cell differentiation
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,extrinsic apoptotic signaling pathway regulation,gamma-delta intraepithelial t cell differentiation,k48-linked ubiquitination,scaffolding protein function
glutathione-disulfide reductase (nadph) activity,methyl/ethyl malonyl-coa decarboxylase activity,secretory granule location,eif2 complex assembly,k48-linked ubiquitination,cellular response to prostaglandin d stimulus
pyrroline-5-carboxylate reductase activity,histone h2axs140 phosphatase activity,methylmalonyl-coa epimerase activity,glutathione-disulfide reductase (nadph) activity,phosphatidylethanolamine biosynthetic process,extrinsic apoptotic signaling pathway regulation
methyl/ethyl malonyl-coa decarboxylase activity,phosphatidylethanolamine biosynthetic process,eif2 complex assembly,alcohol dehydrogenase (nad+) activity,k48-linked ubiquitination,spliceosome
methyl/ethyl malonyl-coa decarboxylase activity,phosphatidylethanolamine biosynthetic process,alcohol dehydrogenase (nad+) activity,eif2 complex assembly,extrinsic apoptotic signaling pathway regulation,methylmalonyl-coa epimerase activity
glutathione-disulfide reductase (nadph) activity,secretory granule location,myo-inositol transmembrane transporter activity,methyl/ethyl malonyl-coa decarboxylase activity,phosphatidylethanolamine biosynthetic process,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity
glutathione-disulfide reductase (nadph) activity,methyl/ethyl malonyl-coa decarboxylase activity,phosphatidylethanolamine biosynthetic process,secretory granule location,myo-inositol transmembrane transporter activity,pyrroline-5-carboxylate reductase activity
spliceosomal complex assembly,spliceosomal complex localization,u5 snrnp,interferon production regulation,antigen processing and presentation via mhc class ii,spliceosome complex assembly
spliceosomal complex assembly,spliceosomal complex localization,'de novo' imp synthesis,u5 snrnp,antigen processing and presentation via mhc class ii,interferon production regulation
methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,eif2 complex assembly,scaffolding protein function,u5 snrnp,k48-linked ubiquitination
myo-inositol transmembrane transporter activity,methylmalonyl-coa epimerase activity,phosphatidylethanolamine biosynthetic process,pyrroline-5-carboxylate reductase activity,dol-p-man:man(5)glcnac(2)-pp-dol alpha-1,extrinsic apoptotic signaling pathway regulation
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process,k48-linked ubiquitination,myo-inositol transmembrane transporter activity,alcohol dehydrogenase (nad+) activity
methyl/ethyl malonyl-coa decarboxylase activity,methylmalonyl-coa epimerase activity,gamma-delta intraepithelial t cell differentiation,phosphatidylethanolamine biosynthetic process,extrinsic apoptotic signaling pathway regulation,myo-inositol transmembrane transporter activity
gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,scaffolding protein function,claudin-22,dgc complex,fanconi anemia nuclear complex
eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,u5 snrnp,scaffolding protein function,gamma-delta intraepithelial t cell differentiation,k48-linked ubiquitination
glutathione-disulfide reductase (nadph) activity,methylmalonyl-coa epimerase activity,pyrroline-5-carboxylate reductase activity,extrinsic apoptotic signaling pathway regulation,phosphatidylethanolamine biosynthetic process,methyl/ethyl malonyl-coa decarboxylase activity
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process,myo-inositol transmembrane transporter activity,secretory granule location,extrinsic apoptotic signaling pathway regulation
eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,k48-linked ubiquitination,quaternary ammonium group transport,solute:inorganic anion antiporter activity,gamma-delta intraepithelial t cell differentiation
gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,u5 snrnp,methyl/ethyl malonyl-coa decarboxylase activity,dgc complex,myo-inositol transmembrane transporter activity
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,glutathione-disulfide reductase (nadph) activity,quaternary ammonium group transport,kinetochore association,methylmalonyl-coa epimerase activity
u5 snrnp,gamma-delta intraepithelial t cell differentiation,eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,scaffolding protein function,retrograde vesicle-mediated transport
u5 snrnp,gamma-delta intraepithelial t cell differentiation,scaffolding protein function,solute:inorganic anion antiporter activity,methyl/ethyl malonyl-coa decarboxylase activity,retrograde vesicle-mediated transport
u5 snrnp,eif2 complex assembly,scaffolding protein function,gamma-delta intraepithelial t cell differentiation,methyl/ethyl malonyl-coa decarboxylase activity,k11-linked ubiquitination
eif2 complex assembly,u5 snrnp,methyl/ethyl malonyl-coa decarboxylase activity,scaffolding protein function,gamma-delta intraepithelial t cell differentiation,k11-linked ubiquitination
eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,u5 snrnp,scaffolding protein function,k11-linked ubiquitination
methyl/ethyl malonyl-coa decarboxylase activity,methylmalonyl-coa epimerase activity,extrinsic apoptotic signaling pathway regulation,phosphatidylethanolamine biosynthetic process,myo-inositol transmembrane transporter activity,gamma-delta intraepithelial t cell differentiation
methyl/ethyl malonyl-coa decarboxylase activity,extrinsic apoptotic signaling pathway regulation,methylmalonyl-coa epimerase activity,gamma-delta intraepithelial t cell differentiation,eif2 complex assembly,phosphatidylethanolamine biosynthetic process
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,gamma-delta intraepithelial t cell differentiation,scaffolding protein function,u5 snrnp,extrinsic apoptotic signaling pathway regulation
u5 snrnp,scaffolding protein function,eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,k11-linked ubiquitination
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,scaffolding protein function,u5 snrnp,k48-linked ubiquitination,gamma-delta intraepithelial t cell differentiation
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,scaffolding protein function,gamma-delta intraepithelial t cell differentiation,k48-linked ubiquitination,u5 snrnp
phosphatidylethanolamine biosynthetic process,methylmalonyl-coa epimerase activity,methyl/ethyl malonyl-coa decarboxylase activity,extrinsic apoptotic signaling pathway regulation,glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity
methyl/ethyl malonyl-coa decarboxylase activity,methylmalonyl-coa epimerase activity,phosphatidylethanolamine biosynthetic process,extrinsic apoptotic signaling pathway regulation,alcohol dehydrogenase (nad+) activity,myo-inositol transmembrane transporter activity
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,scaffolding protein function,k48-linked ubiquitination,u5 snrnp,gamma-delta intraepithelial t cell differentiation
methyl/ethyl malonyl-coa decarboxylase activity,myo-inositol transmembrane transporter activity,gamma-delta intraepithelial t cell differentiation,phosphatidylethanolamine biosynthetic process,eif2 complex assembly,methylmalonyl-coa epimerase activity
immune signaling transduction,corvet complex,5'-(n(7)-methyl 5'-triphosphoguanosine)-[mrna] diphosphatase activity,5'-(n(7)-methylguanosine 5'-triphospho)-[mrna] hydrolase activity,immune tolerance,retrotransposon activity
corvet complex,retrotransposon activity,immune system signaling,solute:inorganic anion antiporter activity,immune signaling transduction,gamma-delta intraepithelial t cell differentiation
cancer invasion,defense against infection,processivity factor activity,pathogen lysis,electrochemical gradient establishment,carbohydrate:proton symporter activity
cell projection association,cell projection,response to nutrient levels,defense against infection,membrane-bound organelle localization,cancer transformation
cytoplasmic ribonucleoprotein granule association,chondroitin sulfate proteoglycan biosynthetic process,cytoplasmic ribonucleoprotein granule localization,protein-protein interactions (β-catenin),peptidyl-threonine phosphorylation,chromocenter
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,immune cell development,methylmalonyl-coa epimerase activity,extrinsic apoptotic signaling pathway regulation,alcohol dehydrogenase (nad+) activity
glutathione-disulfide reductase (nadph) activity,methyl/ethyl malonyl-coa decarboxylase activity,extrinsic apoptotic signaling pathway regulation,methylmalonyl-coa epimerase activity,ketone body catabolic process,alcohol dehydrogenase (nad+) activity
gamma-delta intraepithelial t cell differentiation,myo-inositol transmembrane transporter activity,ctf18 rfc-like complex,scaffolding protein function,ubiquinol to cytochrome c,phosphatidylethanolamine biosynthetic process
u1 snrnp,coenzyme q10 biosynthesis,myo-inositol transport,scaffolding protein function,u5 snrnp,erad pathway regulation
glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,pyrroline-5-carboxylate reductase activity,secretory granule location,cytokinesis regulation,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity
pyrroline-5-carboxylate reductase activity,immune cell development,glutathione-disulfide reductase (nadph) activity,phosphatidylcholine biosynthetic process,methylmalonyl-coa epimerase activity,phosphatidylethanolamine biosynthetic process
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,histone h2axs140 phosphatase activity,secretory granule location,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s7 phosphatase activity
glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,pyrroline-5-carboxylate reductase activity,secretory granule location,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,cellular response to prostaglandin d stimulus
intron removal,actin cytoskeleton dynamics,cohesin loading,histone h3k14 acetylation,store-operated calcium entry,cell polarity establishment or maintenance
eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,k48-linked ubiquitination,phosphatidylethanolamine biosynthetic process,spliceosome,scaffolding protein function
cilium assembly negative regulation,coenzyme q10 biosynthesis,myo-inositol transport,ketone body catabolism,aldose 1-epimerase activity,k48-linked ubiquitination
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,immune cell development,rna polymerase ii ctd isomerase activity,histone h2axs140 phosphatase activity,phosphatidylcholine biosynthetic process
eif2 complex assembly,scaffolding protein function,u5 snrnp,spliceosomal complex localization,methyl/ethyl malonyl-coa decarboxylase activity,keratin filament cross-linking
oligosaccharyltransferase complex subunit,cytoplasmic ribonucleoprotein granule association,3-d-xylosyltransferase activity,serine/threonine-protein phosphatase activity,type ii interferon receptor activity,cytoplasmic ribonucleoprotein granule localization
pyrroline-5-carboxylate reductase activity,histone h2axs140 phosphatase activity,rna polymerase ii ctd isomerase activity,immune cell development,glutathione-disulfide reductase (nadph) activity,3'-phosphoadenosine 5'-phosphosulfate metabolic process
immune cell development,choline catabolic process,cytoplasmic vesicle membrane,protein-rna sequence-specific adaptor activity,histone h2axs139 kinase activity,epithelial expression
immune cell development,cytoplasmic vesicle membrane,gamma-delta t cell activation,cytoplasmic ribonucleoprotein granule localization,translational initiation,epithelial expression
tumor suppressor gene regulation,tumor type association,tumor suppressor gene expression,nurd complex,imprinting,mrna degradation
solute:inorganic anion antiporter activity,gamma-delta intraepithelial t cell differentiation,cytosolic [4fe-4s] assembly targeting complex,keratin filament cross-linking,claudin-22,eif2 complex assembly
tumor suppressor gene regulation,tumor type association,tumor microenvironment adaptation,glucose-1,organelle biogenesis,cellular movement
vitamin e binding,3-hydroxyisobutyrate dehydrogenase activity,transmembrane copper transport,chondroitin sulfate biosynthetic process,udp-glucose metabolic process,serine/threonine-protein phosphatase activity
extrinsic apoptotic signaling pathway regulation,keratin filament cross-linking,gamma-delta intraepithelial t cell differentiation,ecm structural constituent,solute:inorganic anion antiporter activity,phosphatidylethanolamine biosynthetic process
hect-type e3 ubiquitin transferase activity,peptidylprolyl isomerase activity,chaperone cofactor-dependent protein refolding,therapy response,extrinsic apoptotic signaling pathway regulation,aldehyde dehydrogenase [nad(p)+] activity
choline catabolic process,spliceosomal complex disassembly,translational termination,cytosolic [4fe-4s] assembly targeting complex,gi/o-coupled serotonin receptor activity,cytoplasm protein quality control
phospholipid biosynthetic process,histone h2axs140 phosphatase activity,glutathione-disulfide reductase (nadph) activity,coenzyme q10 biosynthesis,'de novo' nad biosynthetic process from tryptophan,histone h2axy142 phosphatase activity
response to alkaloid,fatty acid biosynthetic process,protein trafficking,response to growth factor,developmental processes,protein asparagine 3-dioxygenase activity
mitochondrial respirasome assembly,protein catabolic process at postsynapse,response to activity,protein localization to synapse,protein localization to site of double-strand break,lipoprotein lipase activator activity
aldo-keto reductase (nadph) activity,vcp-npl4-ufd1 aaa atpase complex,'de novo' pyrimidine nucleobase biosynthetic process,spliceosomal complex assembly,snare complex assembly regulation,'de novo' amp synthesis
glucose-1,phospholipid transfer activity,zyxin,thiolester hydrolase activity,rotational mechanism,wnt signaling
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process,ketone body catabolic process,keratin filament cross-linking,extrinsic apoptotic signaling pathway regulation
holliday junction resolvase activity,i-kappab/nf-kappab complex,ecm disassembly,antigen processing and presentation of peptide antigen via mhc class ii,epsilon dna polymerase complex,extrinsic apoptotic signaling pathway regulation
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process,keratin filament cross-linking,k48-linked ubiquitination,extrinsic apoptotic signaling pathway regulation
chaperone cofactor,gi/o-coupled serotonin receptor activity,embryonic digit morphogenesis,voltage-gated monoatomic cation channel activity,cohesin interaction,tissue homeostasis
choline catabolism,interleukin-1 signaling,peptidyl-lysine hydroxylation,gi/o-coupled serotonin receptor activity,chaperone cofactor,transmembrane ascorbate ferrireductase activity
hect-type e3 ubiquitin transferase activity,peptidylprolyl isomerase activity,glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,immune cell development,extrinsic apoptotic signaling pathway regulation
choline catabolic process,chromosomal demethylation pathway,protein-rna sequence-specific adaptor activity,choline catabolism,therapy response,phosphorylated serine/threonine binding
n(6)-l-threonylcarbamoyladenine synthase activity,double-stranded dna 3'-5' dna exonuclease activity,immune system signaling,viral genome replication regulation,calcineurin-nfat signaling,calcineurin-nfat signaling cascade
cellular architecture,vesicle tethering to endoplasmic reticulum,choline catabolic process,cellular response to amine stimulus,protein c-terminal s-isoprenylcysteine carboxyl o-methyltransferase activity,nadh binding
phosphatidylethanolamine biosynthetic process,extrinsic apoptotic signaling pathway regulation,alcohol dehydrogenase (nad+) activity,methyl/ethyl malonyl-coa decarboxylase activity,glutathione-disulfide reductase (nadph) activity,methylmalonyl-coa epimerase activity
glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,phospholipid biosynthetic process,secretory granule location,pyrroline-5-carboxylate reductase activity,dihydroorotate dehydrogenase activity
mitotic spindle assembly,meiotic cohesin complex,lipid droplet disassembly,core complex subunit,canonical nf-κb signaling,pi3k signaling regulation
glutathione-disulfide reductase (nadph) activity,secretory granule location,cellular response to prostaglandin d stimulus,methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,aldose 1-epimerase activity
methyl/ethyl malonyl-coa decarboxylase activity,glutathione-disulfide reductase (nadph) activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process,secretory granule location,cellular response to prostaglandin d stimulus
phospholipid biosynthetic process,glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,aldose 1-epimerase activity,cellular response to prostaglandin d stimulus,cytoplasmic translation regulation
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,secretory granule location,alcohol dehydrogenase (nad+) activity,histone h2axs140 phosphatase activity,methyl/ethyl malonyl-coa decarboxylase activity
glutathione-disulfide reductase (nadph) activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,pyrroline-5-carboxylate reductase activity,methylmalonyl-coa epimerase activity,myo-inositol transmembrane transporter activity,rna polymerase ii ctd heptapeptide repeat s7 phosphatase activity
methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,extrinsic apoptotic signaling pathway regulation,methylmalonyl-coa epimerase activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process
immune cell development,pyrroline-5-carboxylate reductase activity,hect-type e3 ubiquitin transferase activity,aldehyde dehydrogenase [nad(p)+] activity,peptidylprolyl isomerase activity,phosphatidylcholine biosynthetic process
immune cell development,pyrroline-5-carboxylate reductase activity,gamma-delta t cell activation,choline catabolic process,phosphatidylcholine biosynthetic process,epithelial to mesenchymal transition inhibition
epithelial to mesenchymal transition inhibition,histone h3 demethylase activity,cytokine signaling inhibition,alcohol dehydrogenase (nad+) activity,phosphatidylethanolamine biosynthetic process,pyrroline-5-carboxylate reductase activity
pyrroline-5-carboxylate reductase activity,glutathione-disulfide reductase (nadph) activity,immune cell development,aldehyde dehydrogenase [nad(p)+] activity,phosphatidylcholine biosynthetic process,spliceosomal complex disassembly
immune cell development,glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,choline catabolic process,epithelial expression,spliceosomal complex disassembly
glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,secretory granule location,pyrroline-5-carboxylate reductase activity,cellular response to prostaglandin d stimulus,phospholipid biosynthetic process
histone h2axs140 phosphatase activity,pyrroline-5-carboxylate reductase activity,glutathione-disulfide reductase (nadph) activity,secretory granule location,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,phosphatidylethanolamine biosynthetic process
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,histone h2axs140 phosphatase activity,rna polymerase ii ctd isomerase activity,secretory granule location,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,histone h2axs140 phosphatase activity,secretory granule location,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s7 phosphatase activity
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,gamma-delta intraepithelial t cell differentiation,extrinsic apoptotic signaling pathway regulation,solute:inorganic anion antiporter activity,retrograde vesicle-mediated transport
methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,eif2 complex assembly,extrinsic apoptotic signaling pathway regulation,methylmalonyl-coa epimerase activity,phosphatidylethanolamine biosynthetic process
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,extrinsic apoptotic signaling pathway regulation,gamma-delta intraepithelial t cell differentiation,k48-linked ubiquitination,scaffolding protein function
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,extrinsic apoptotic signaling pathway regulation,gamma-delta intraepithelial t cell differentiation,phosphatidylethanolamine biosynthetic process,scaffolding protein function
glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,pyrroline-5-carboxylate reductase activity,secretory granule location,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,phosphatidylethanolamine biosynthetic process
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,secretory granule location,histone h2axs140 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s7 phosphatase activity
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,histone h2axs140 phosphatase activity,secretory granule location,phosphatidylethanolamine biosynthetic process,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity
glutathione-disulfide reductase (nadph) activity,kinetochore association,secretory granule location,dihydroorotate dehydrogenase activity,histone h2axs140 phosphatase activity,spliceosomal complex disassembly
glutathione-disulfide reductase (nadph) activity,secretory granule location,histone h2axs140 phosphatase activity,methyl/ethyl malonyl-coa decarboxylase activity,pyrroline-5-carboxylate reductase activity,phosphatidylethanolamine biosynthetic process
actin cytoskeleton dynamics,'de novo' nad biosynthetic process from tryptophan,dihydroorotate dehydrogenase activity,glutathione-disulfide reductase (nadph) activity,rdna heterochromatin formation,coenzyme q10 biosynthesis
glutathione-disulfide reductase (nadph) activity,secretory granule location,methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,cellular response to prostaglandin d stimulus,k48-linked ubiquitination
methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,phosphatidylethanolamine biosynthetic process,eif2 complex assembly,methylmalonyl-coa epimerase activity,extrinsic apoptotic signaling pathway regulation
methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,phosphatidylethanolamine biosynthetic process,eif2 complex assembly,methylmalonyl-coa epimerase activity,extrinsic apoptotic signaling pathway regulation
methylmalonyl-coa epimerase activity,phosphatidylethanolamine biosynthetic process,pyrroline-5-carboxylate reductase activity,extrinsic apoptotic signaling pathway regulation,glutathione-disulfide reductase (nadph) activity,myo-inositol transmembrane transporter activity
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,immune cell development,rna polymerase ii ctd isomerase activity,phosphatidylcholine biosynthetic process,methylmalonyl-coa epimerase activity
immune cell development,cytokine signaling inhibition,spliceosomal complex disassembly,methylmalonyl-coa epimerase activity,aldehyde dehydrogenase (nad+) activity,alcohol dehydrogenase (nad+) activity
methyl/ethyl malonyl-coa decarboxylase activity,alcohol dehydrogenase (nad+) activity,eif2 complex assembly,k48-linked ubiquitination,phosphatidylethanolamine biosynthetic process,glutathione-disulfide reductase (nadph) activity
cytoplasmic ribonucleoprotein granule localization,phosphatidylethanolamine n-methyltransferase activity,response to hormone,mitotic cell cycle progression,choline catabolic process,histone h2axs139 kinase activity
phosphatidylcholine-sterol o-acyltransferase activity,histone h3 demethylase activity,zinc-finger domain,epithelial to mesenchymal transition inhibition,clathrin-coated pit,extrinsic apoptotic pathway inhibition
glutathione-disulfide reductase (nadph) activity,phospholipid biosynthetic process,dihydroorotate dehydrogenase activity,histone h2axs140 phosphatase activity,pyrroline-5-carboxylate reductase activity,secretory granule location
biomineralization,biotin ligase activity,tight junction,microtubule tethering,protein misfolding,cytoskeletal integrity
actin cytoskeleton dynamics,intron removal,'de novo' nad biosynthetic process from tryptophan,store-operated calcium entry,phospholipid biosynthetic process,cohesin loading
eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,k48-linked ubiquitination,u5 snrnp,scaffolding protein function,k63-linked ubiquitination
eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,k48-linked ubiquitination,kinetochore association,quaternary ammonium group transport,keratin filament cross-linking
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,k48-linked ubiquitination,secretory granule location,glutathione-disulfide reductase (nadph) activity,cellular response to prostaglandin d stimulus
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,k48-linked ubiquitination,secretory granule location,glutathione-disulfide reductase (nadph) activity,cellular response to prostaglandin d stimulus
pyrroline-5-carboxylate reductase activity,glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,rna polymerase ii ctd isomerase activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,secretory granule location
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process,k48-linked ubiquitination,alcohol dehydrogenase (nad+) activity,spliceosome
